id,question,expected_type,flat_rag_answer,graph_rag_answer,winner,notes
1,"Using the graph paths, how is Microsoft connected to OpenAI through investment, Azure, and Copilot?",multi-hop,"Microsoft is connected to OpenAI through several key avenues:

1. **Investment**: Microsoft made an initial investment of $1 billion in OpenAI in 2019, which was part of a series of investments totaling approximately $3 billion by 2022. In January 2023, Microsoft announced an additional investment of $10 billion, further solidifying their financial relationship.

2. **Azure**: A significant portion of Microsoft's investments in OpenAI has been allocated to purchasing time on Microsoft Azure, which is the cloud computing platform that hosts OpenAI's services. This partnership has allowed OpenAI to run its systems on an Azure-based supercomputing platform.

3. **Copilot**: Microsoft integrated OpenAI's models into its Copilot chatbot, which was incorporated into Windows and released as mobile apps. This collaboration highlights the practical application of OpenAI's technology within Microsoft's products.

Overall, these connections illustrate a deepening partnership between Microsoft and OpenAI, characterized by substantial financial investments, shared technological infrastructure, and collaborative product development.","Microsoft is connected to OpenAI through several key pathways:

1. **Investment**: Microsoft has made significant investments in OpenAI, including a multi-year, multi-billion dollar investment deal announced on January 23, 2023, and a $1 billion investment in OpenAI LP. This financial backing establishes a strong partnership between the two entities.

2. **Azure**: Microsoft provides Azure cloud computing resources to OpenAI. In a notable deal, OpenAI agreed to purchase $250 billion worth of Azure services, indicating a deep integration of Microsoft's cloud infrastructure into OpenAI's operations.

3. **Copilot**: Microsoft has utilized OpenAI's models for its Copilot chatbot, integrating these capabilities into its products like Windows and Microsoft 365. This shows a direct application of OpenAI's technology within Microsoft's software offerings.

In summary, Microsoft's investment in OpenAI, provision of Azure services, and integration of OpenAI's models into products like Copilot create a robust connection between the two companies.",GraphRAG,GraphRAG answered with an explicit graph path.
2,"Trace the ownership path from OpenAI Global, LLC to OpenAI LP and OpenAI, Inc.",multi-hop,"The ownership path from OpenAI Global, LLC to OpenAI LP and OpenAI, Inc. is as follows:

1. OpenAI, Inc. (the nonprofit) controls OpenAI GP LLC.
2. OpenAI GP LLC controls OpenAI LP.
3. OpenAI LP is owned by OpenAI, Inc., OpenAI employees, and investors.
4. OpenAI Global, LLC is owned by OpenAI LP and Microsoft.

Thus, the path is: OpenAI, Inc. → OpenAI GP LLC → OpenAI LP → OpenAI Global, LLC.","To trace the ownership path from OpenAI Global, LLC to OpenAI LP and OpenAI, Inc., we can follow these connections:

1. **OpenAI Global, LLC** is owned by **OpenAI LP**. This is established by the evidence stating that ""OpenAI Global, LLC, was owned by OpenAI LP and Microsoft.""

2. **OpenAI LP** is owned by **OpenAI, Inc.** The evidence states that ""OpenAI LP was owned by the nonprofit OpenAI, Inc., OpenAI employees, and investors.""

Thus, the ownership path is:
- OpenAI Global, LLC → OpenAI LP → OpenAI, Inc.

This reasoning is based on the direct ownership relationships provided in the graph context.",GraphRAG,GraphRAG answered with an explicit graph path.
3,How does Microsoft connect to OpenAI Group PBC after OpenAI's restructuring?,multi-hop,The context is insufficient.,"The graph context provides information about Microsoft's ownership stake in OpenAI Group PBC after OpenAI's restructuring. Specifically, it states that Microsoft owns a 27% stake in OpenAI Group PBC, which was formed as a result of OpenAI's transition to a public benefit corporation (PBC). 

The reasoning path is as follows:
1. OpenAI underwent a restructuring that converted its capped-profit model into a PBC.
2. As part of this restructuring, Microsoft retained a significant ownership stake (27%) in the newly formed OpenAI Group PBC.
3. This indicates that Microsoft continues to have a financial and operational connection to OpenAI following the restructuring.

Thus, Microsoft connects to OpenAI Group PBC through its ownership stake in the organization post-restructuring.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
4,What graph path connects ChatGPT to Microsoft through OpenAI?,multi-hop,The context is insufficient.,"The graph path connecting ChatGPT to Microsoft through OpenAI is as follows:

1. **ChatGPT CREATED_BY OpenAI**: ChatGPT was developed by OpenAI.
2. **OpenAI OWNED_BY OpenAI Group PBC**: OpenAI transitioned to a for-profit model and is now owned by OpenAI Group PBC.
3. **OpenAI Group PBC OWNED_BY Microsoft**: Microsoft owns a 27% stake in OpenAI Group PBC.

This path shows the direct connection from ChatGPT to OpenAI and then to Microsoft, indicating the ownership and development relationships.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
5,How are Sam Altman and Microsoft connected through OpenAI's 2023 leadership crisis?,multi-hop,"Sam Altman and Microsoft are connected through OpenAI's 2023 leadership crisis as Microsoft, along with other investors, pressured OpenAI's board to reinstate Altman after his removal as CEO. Following negotiations that ultimately failed to reinstate him, Microsoft announced that Altman and Greg Brockman would join Microsoft to lead a new advanced AI research team, indicating Microsoft's commitment to Altman despite the turmoil at OpenAI.","The graph context provides a connection between Sam Altman, Microsoft, and OpenAI during the 2023 leadership crisis through several key events:

1. **Sam Altman's Removal and Return**: Sam Altman was removed as CEO of OpenAI on November 17, 2023, due to a lack of confidence from the board. Following negotiations, he was reinstated on November 21, 2023.

2. **Microsoft's Investment in OpenAI**: Microsoft had a significant financial relationship with OpenAI, having invested billions in the company, including a multi-billion dollar investment deal announced on January 23, 2023. This investment indicates Microsoft's vested interest in OpenAI's leadership and direction.

3. **Microsoft's Stake in OpenAI**: After OpenAI's restructuring in 2025, Microsoft owned a 27% stake in OpenAI Group PBC, further solidifying their connection.

4. **Impact of Leadership Changes**: The leadership crisis at OpenAI, particularly Altman's removal and subsequent reinstatement, likely affected Microsoft's strategic interests and investments in OpenAI, as they are a major partner and customer.

Thus, the connection between Sam Altman and Microsoft through OpenAI's 2023 leadership crisis is primarily established through Altman's removal and return as CEO, alongside Microsoft's significant financial investment and ownership stake in OpenAI.",GraphRAG,GraphRAG answered with an explicit graph path.
6,How is Elon Musk connected to OpenAI and Sam Altman through lawsuits and bids?,multi-hop,"Elon Musk is connected to OpenAI and Sam Altman through a series of lawsuits. On February 29, 2024, Musk filed a lawsuit against OpenAI and CEO Sam Altman, claiming they shifted focus from public benefit to profit maximization. OpenAI dismissed this lawsuit as ""incoherent"" and ""frivolous."" Musk later revived legal action against Altman and others in August 2024. In response, OpenAI countersued Musk on April 9, 2024, alleging he engaged in ""bad-faith tactics"" to hinder the company's progress and seize its innovations for personal benefit. Musk's legal actions included a demand to undo OpenAI's transition from a non-profit to a for-profit structure, and he began testifying against Altman and OpenAI in a jury trial that started in April 2026. 

Thus, the context provides sufficient information about Musk's legal connections to OpenAI and Altman through lawsuits and bids.","Elon Musk is connected to OpenAI and Sam Altman through a series of legal actions and financial bids. He co-founded OpenAI, which establishes his initial connection. Subsequently, he submitted a $97.4 billion unsolicited bid, indicating a financial interest in the organization. This relationship turned contentious when Musk filed a lawsuit against OpenAI and Sam Altman, which led to OpenAI countersuing him. Thus, the connections are established through his role as a co-founder, the unsolicited bid, and the subsequent lawsuits exchanged between Musk and OpenAI.",GraphRAG,GraphRAG answered with an explicit graph path.
7,"Which cloud and compute providers are connected to OpenAI, and what roles do they play?",multi-hop,The context is insufficient.,"The graph context provides information about OpenAI's connections to various cloud and compute providers, specifically Microsoft, Google, and Nvidia.

1. **Microsoft**: 
   - Microsoft provides Azure cloud computing resources to OpenAI and has made significant investments in the company, including a $10 billion investment and a $1 billion investment in OpenAI LP. Microsoft uses OpenAI models for its Copilot chatbot and integrates these models into its products like Windows and Microsoft 365.

2. **Google**: 
   - OpenAI rented CPUs and GPUs from Google for training its models, specifically for training Dota 2 bots. Additionally, OpenAI began renting Google Cloud's Tensor Processing Units (TPUs) to support ChatGPT and related services.

3. **Nvidia**: 
   - Nvidia has provided AI expertise and gifted OpenAI a DGX-1 supercomputer. OpenAI also depends on Nvidia GPUs for its operations.

In summary, Microsoft plays a significant role as both a provider of cloud services and an investor, Google provides compute resources for model training, and Nvidia supplies hardware and expertise.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
8,How is The Stargate Project connected to OpenAI and other infrastructure partners?,multi-hop,The context is insufficient.,"The graph context indicates that The Stargate Project is a joint venture involving OpenAI, Oracle, SoftBank, and MGX, and it is related to building an AI infrastructure system in conjunction with the US government. This suggests that The Stargate Project is directly connected to OpenAI as one of its partners in this initiative. 

The reasoning path is as follows:
1. The Stargate Project is identified as part of OpenAI.
2. It is described as a joint venture with specific partners (Oracle, SoftBank, MGX).
3. The project aims to collaborate with the US government on AI infrastructure.

Thus, The Stargate Project's connection to OpenAI and its infrastructure partners is established through its role as a joint venture.",GraphRAG,GraphRAG found a graph path while Flat RAG lacked context.
9,"Which OpenAI products or models are connected to GPT-2, GPT-3, GPT-4, DALL-E, Sora, Operator, and ChatGPT?",multi-hop,"The OpenAI products or models connected to GPT-2, GPT-3, GPT-4, DALL-E, Sora, Operator, and ChatGPT are as follows:

- **GPT-2**: Announced in February 2019, known for generating human-like text.
- **GPT-3**: Announced in 2020, a language model for natural language processing tasks.
- **GPT-4**: Released on March 14, 2023, as an API and a feature of ChatGPT Plus.
- **DALL-E**: Introduced in 2021, a model for generating images from textual descriptions, based on a variant of the GPT-3 architecture.
- **Sora**: Launched in December 2024, a text-to-video model.
- **Operator**: Released on January 23, 2025, an AI agent for accessing websites to execute user-defined goals.
- **ChatGPT**: Launched in December 2022, based on GPT-3.5, and includes various features like ChatGPT Pro and ChatGPT Atlas.

These products and models are interconnected through their development and underlying technologies.","The graph context does not contain enough information to determine the specific connections between GPT-2, GPT-3, GPT-4, DALL-E, Sora, Operator, and ChatGPT. While it mentions the creation and release of these models and products, it does not provide explicit connections or relationships among them.",Flat RAG,Flat RAG had usable retrieved text while graph context was insufficient.
10,"How is OpenAI connected to government or defense entities such as DoD, AFRICOM, and Anduril?",multi-hop,"OpenAI is connected to government and defense entities such as the Department of Defense (DoD), AFRICOM, and Anduril through various contracts and partnerships. OpenAI provides large language models (LLMs) to the DoD and has been involved in projects like the Artificial Intelligence Cyber Challenge and the Advanced Research Projects Agency for Health. In October 2024, it was reported that OpenAI's tools are deemed ""essential"" for AFRICOM's mission and are included in a contractual agreement with Microsoft. Additionally, OpenAI partnered with Anduril in December 2024 to develop drone defense technologies. In June 2025, the DoD awarded OpenAI a significant contract to develop AI tools for military applications, and OpenAI announced a program to provide access to its models for government entities. Furthermore, in February 2026, OpenAI reached an agreement with the DoD to deploy its models in classified networks, although concerns about domestic surveillance and autonomous weapons were raised in relation to this agreement.","OpenAI is connected to government and defense entities through several key partnerships and agreements. Specifically, OpenAI has:

1. **Received a Contract from the DoD**: OpenAI was awarded a $200 million contract by the United States Department of Defense to develop AI tools for military and national security applications.

2. **Partnership with Anduril Industries**: OpenAI partnered with Anduril Industries to develop and deploy advanced AI solutions for national security missions.

3. **Collaboration with AFRICOM**: OpenAI's tools are considered essential for the mission of AFRICOM, and they are included in a contractual agreement between the DoD and Microsoft, which highlights OpenAI's role in defense-related projects.

4. **OpenAI for Government Program**: OpenAI announced a program aimed at providing federal, state, and local governments access to its models, including ChatGPT.

These connections illustrate OpenAI's involvement in projects that support national security and defense initiatives.",GraphRAG,GraphRAG answered with an explicit graph path.
