id,question,expected_type,winner,flat_answer_words,graph_answer_words,flat_insufficient,graph_insufficient,retrieved_chunk_count,graph_edge_count,seed_entity,seed_exact_match
1,"Using the graph paths, how is Microsoft connected to OpenAI through investment, Azure, and Copilot?",multi-hop,GraphRAG,151,145,False,False,3,437,Microsoft,True
2,"Trace the ownership path from OpenAI Global, LLC to OpenAI LP and OpenAI, Inc.",multi-hop,GraphRAG,72,101,False,False,3,190,"OpenAI Global, LLC",True
3,How does Microsoft connect to OpenAI Group PBC after OpenAI's restructuring?,multi-hop,GraphRAG,4,116,True,False,3,382,OpenAI Group PBC,True
4,What graph path connects ChatGPT to Microsoft through OpenAI?,multi-hop,GraphRAG,4,76,True,False,3,437,Microsoft,True
5,How are Sam Altman and Microsoft connected through OpenAI's 2023 leadership crisis?,multi-hop,GraphRAG,64,187,False,False,3,195,Sam Altman,True
6,How is Elon Musk connected to OpenAI and Sam Altman through lawsuits and bids?,multi-hop,GraphRAG,137,84,False,False,3,4,OpenAI and Sam Altman,True
7,"Which cloud and compute providers are connected to OpenAI, and what roles do they play?",multi-hop,GraphRAG,4,160,True,False,3,424,OpenAI,True
8,How is The Stargate Project connected to OpenAI and other infrastructure partners?,multi-hop,GraphRAG,4,116,True,False,3,186,The Stargate Project,True
9,"Which OpenAI products or models are connected to GPT-2, GPT-3, GPT-4, DALL-E, Sora, Operator, and ChatGPT?",multi-hop,Flat RAG,136,44,False,True,3,186,Operator,True
10,"How is OpenAI connected to government or defense entities such as DoD, AFRICOM, and Anduril?",multi-hop,GraphRAG,153,140,False,False,3,185,Anduril,True
11,How is Ilya Sutskever connected to OpenAI's safety and superalignment story?,multi-hop,GraphRAG,58,119,False,False,3,189,Ilya Sutskever,True
12,"What path connects Microsoft to MS-DOS, Windows, Windows NT, and Xbox?",multi-hop,Flat RAG,81,51,False,True,3,437,Microsoft,True
13,"How are Bill Gates, Paul Allen, Traf-O-Data, and Microsoft connected?",multi-hop,GraphRAG,75,115,False,False,3,209,Traf-O-Data,True
14,"How is Microsoft connected to GitHub, LinkedIn, and Activision Blizzard through acquisitions?",multi-hop,GraphRAG,104,101,True,False,3,231,Activision Blizzard,True
15,"How does Satya Nadella connect to Steve Ballmer, Microsoft, and Sam Altman?",multi-hop,GraphRAG,99,109,False,False,3,11,Steve Ballmer,True
16,"How is OpenAI connected to News Corp, The New York Times, and copyright-related disputes?",multi-hop,GraphRAG,97,152,False,False,3,187,The New York Times,True
17,"How does OpenAI connect to Whisper, YouTube transcription, and GPT-4 training?",multi-hop,GraphRAG,4,90,True,False,3,185,Whisper,True
18,"How are OpenAI Foundation, OpenAI Group PBC, the nonprofit, and Microsoft connected in the graph?",multi-hop,GraphRAG,154,181,False,False,3,187,OpenAI Foundation,True
19,"How is OpenAI connected to Nvidia, AMD, Oracle, Google Cloud TPUs, and Azure services?",multi-hop,GraphRAG,96,186,False,False,3,424,OpenAI,True
20,"Which graph paths show Microsoft expanding from operating systems into cloud, developer tools, gaming, and AI?",multi-hop,Tie,4,57,True,True,3,437,Microsoft,True
